request_time_s,target_time_s,finished_wall_s,solve_ms,applied
0.0,0.1,0.05262633500387892,52.373439000803046,1
0.1,0.2,0.14830171500216238,48.134629003470764,1
0.2,0.3,0.24114823099807836,40.77377099019941,1
0.3,0.4,0.3397537860000739,39.53042300418019,1
0.4,0.5,0.44475925900042057,44.501761003630236,1
0.5,0.6,0.547225422997144,46.910390999983065,1
0.6,0.7000000000000001,0.6418694570020307,41.73602600349113,1
0.7000000000000001,0.8,0.7399735810031416,39.73579700686969,1
0.8,0.9,0.8426370810047956,42.413617004058324,1
0.9,1.0,0.9407724900083849,40.571101009845734,1
1.0,1.1,1.0443761829956202,43.17570298735518,1
1.1,1.2,1.1413491730054375,41.12031099793967,1
1.2,1.3,1.2404850669990992,40.212053994764574,1
1.3,1.4000000000000001,1.339421662996756,39.19448699161876,1
1.4000000000000001,1.5,1.4389553810033249,38.74392500438262,1
1.5,1.6,1.5394228820077842,39.280003009480424,1
1.6,1.7,1.6391913490078878,38.92723900207784,1
1.7,1.8,1.7393384930037428,39.0821299952222,1
1.8,1.9000000000000001,1.8396490250015631,39.41854799631983,1
1.9000000000000001,2.0,1.9417430750036146,41.456856997683644,1
2.0,2.1,2.042744328995468,42.42967299069278,1
2.1,2.2,2.1415665359963896,40.338768987567164,1
2.2,2.3000000000000003,2.2460301899991464,45.82663599285297,1
2.3000000000000003,2.4,2.343567094008904,43.33066500839777,1
2.4,2.5,2.4379006100061815,37.75338700506836,1
2.5,2.6,2.540468099003192,40.16526500345208,1
2.6,2.7,2.639345924995723,38.198100999579765,1
2.7,2.8000000000000003,2.7377245719981147,37.55221799656283,1
2.8000000000000003,2.9,2.8388801670080284,37.73009200813249,1
2.9,3.0,2.938767255996936,37.52003499539569,1
3.0,3.1,3.039823036000598,38.52180599642452,1
3.1,3.2,3.1382995870080777,37.217654011328705,1
3.2,3.3000000000000003,3.236845949999406,36.61878099956084,1
3.3000000000000003,3.4,3.3372172270028386,37.02507700654678,1
3.4,3.5,3.437732945996686,37.5402759964345,1
3.5,3.6,3.5403378939954564,40.112244998454116,1
3.6,3.7,3.6373223020054866,37.08401099720504,1
3.7,3.8000000000000003,3.738168500000029,37.9187109938357,1
3.8000000000000003,3.9,3.837627169006737,37.39094900083728,1
3.9,4.0,3.938276850996772,37.98181199817918,1
4.0,4.1,4.040424314996926,40.13128799851984,1
4.1,4.2,4.137614421997569,37.287031998857856,1
4.2,4.3,4.237036905004061,36.87720400921535,1
4.3,4.4,4.337322498002322,37.13847200560849,1
4.4,4.5,4.437677262001671,37.40834399650339,1
4.5,4.6000000000000005,4.539547342006699,39.27734099852387,1
4.6000000000000005,4.7,4.637756862008246,37.63407100632321,1
4.7,4.8,4.737630003000959,37.444554996909574,1
4.8,4.9,4.837745776007068,37.613404012518004,1
4.9,5.0,4.937763627996901,37.455150988535024,1
5.0,5.1000000000000005,5.03876904900244,38.40781800681725,1
5.1000000000000005,5.2,5.137407008005539,37.1199890068965,1
5.2,5.3,5.236770703995717,36.50996499345638,1
5.3,5.4,5.336829142004717,36.568771000020206,1
5.4,5.5,5.436566121003125,36.30612199776806,1
5.5,5.6000000000000005,5.539597890005098,39.385210009641014,1
5.6000000000000005,5.7,5.637712593001197,37.43362700333819,1
5.7,5.8,5.737717928001075,37.49269599211402,1
5.8,5.9,5.837343380000675,37.109383003553376,1
5.9,6.0,5.937364964003791,37.010219995863736,1
6.0,6.1000000000000005,6.038990005006781,38.74231000372674,1
6.1000000000000005,6.2,6.137499602002208,37.285444006556645,1
6.2,6.3,6.238646965997759,36.71369299991056,1
6.3,6.4,6.336700448999181,36.38176099047996,1
6.4,6.5,6.436747981002554,36.288097995566204,1
6.5,6.6000000000000005,6.541179556996212,39.15534800034948,1
6.6000000000000005,6.7,6.637073560996214,36.85019799740985,1
6.7,6.8,6.737165772006847,36.92262301046867,1
6.8,6.9,6.838339427005849,38.14694200991653,1
6.9,7.0,6.940002942996216,37.045034987386316,1
7.0,7.1000000000000005,7.044165027007693,42.323029003455304,1
7.1000000000000005,7.2,7.14303944799758,40.9537389932666,1
7.2,7.3,7.242310820001876,41.21676299837418,1
7.3,7.4,7.341700930002844,41.334666006150655,1
7.4,7.5,7.44151322900143,41.32380700320937,1
7.5,7.6000000000000005,7.543380008995882,42.934888988384046,1
7.6000000000000005,7.7,7.638285417997395,38.07996999239549,1
7.7,7.8,7.737474950001342,37.14800300076604,1
7.8,7.9,7.837494870997034,37.17969798890408,1
7.9,8.0,7.937714629995753,37.37720299977809,1
8.0,8.1,8.038550697994651,38.2015459908871,1
8.1,8.2,8.137126187008107,36.7298750061309,1
8.2,8.3,8.23732621599629,37.01150898996275,1
8.3,8.4,8.337315124008455,37.026483012596145,1
8.4,8.5,8.43732813000679,36.97524500603322,1
8.5,8.6,8.540405160994851,39.97515699302312,1
8.6,8.700000000000001,8.63720774599642,36.99323999171611,1
8.700000000000001,8.8,8.73734705800598,37.07520400348585,1
8.8,8.9,8.837528660005773,37.21920101088472,1
8.9,9.0,8.937943815995823,37.55355298926588,1
9.0,9.1,9.040693754999666,40.281554000102915,1
9.1,9.200000000000001,9.137152695999248,36.876737998682074,1
9.200000000000001,9.3,9.236915964007494,36.57444100826979,1
9.3,9.4,9.336842532997252,36.54513000219595,1
9.4,9.5,9.437679205002496,37.33408900734503,1
9.5,9.6,9.541621219002991,41.400838003028184,1
9.6,9.700000000000001,9.641764315005275,37.62507600185927,1
9.700000000000001,9.8,9.738234895994538,37.79191098874435,1
9.8,9.9,9.838374900995404,37.89260798657779,1
9.9,10.0,9.93914925599529,38.92035500030033,1
10.0,10.1,10.047880811995128,46.28970100020524,1
10.1,10.200000000000001,10.137014484003885,36.78137200768106,1
10.200000000000001,10.3,10.236962648996268,36.805153999011964,1
