request_time_s,target_time_s,applied_time_s,finished_wall_s,solve_ms,applied
0.0,0.1,0.1,0.04792574804741889,47.69974900409579,1
0.1,0.2,0.2,0.14261569699738175,42.16821095906198,1
0.2,0.3,0.3,0.2403865730157122,40.11910501867533,1
0.3,0.4,0.4,0.3420575000345707,41.76516301231459,1
0.4,0.5,0.5,0.4394568350398913,39.167187991552055,1
0.5,0.6,0.6,0.5428292540018447,42.56185999838635,1
0.6,0.7000000000000001,0.7000000000000001,0.6423746120417491,41.95608804002404,1
0.7000000000000001,0.8,0.8,0.7416020280215889,39.75747199729085,1
0.8,0.9,0.9,0.839236794039607,38.95967802964151,1
0.9,1.0,1.0,0.938936808030121,38.76387502532452,1
1.0,1.1,1.1,1.0488366080098785,48.59995195874944,1
1.1,1.2,1.2,1.1395976730273105,39.463487977627665,1
1.2,1.3,1.3,1.239052287011873,38.81421301048249,1
1.3,1.4000000000000001,1.4000000000000001,1.3388907019980252,38.65348297404125,1
1.4000000000000001,1.5,1.5,1.4382698750123382,38.02042396273464,1
1.5,1.6,1.6,1.5447154029970989,44.444383995141834,1
1.6,1.7,1.7,1.6410381110035814,40.795445966068655,1
1.7,1.8,1.8,1.742606356041506,42.29673201916739,1
1.8,1.9000000000000001,1.9000000000000001,1.8416366850142367,41.26567498315126,1
1.9000000000000001,2.0,2.0,1.941904050996527,41.614659945480525,1
2.0,2.1,2.1,2.0425465810112655,42.26363496854901,1
2.1,2.2,2.2,2.140385374019388,39.26921699894592,1
2.2,2.3000000000000003,2.3000000000000003,2.239849869045429,38.7482310179621,1
2.3000000000000003,2.4,2.4,2.337868705042638,37.57204004796222,1
2.4,2.5,2.5,2.4379607220180333,37.664550996851176,1
2.5,2.6,2.6,2.5431066090241075,42.86582698114216,1
2.6,2.7,2.7,2.63968995801406,39.41604896681383,1
2.7,2.8000000000000003,2.8000000000000003,2.739723696024157,39.48454197961837,1
2.8000000000000003,2.9,2.9,2.8389319030102342,38.66922197630629,1
2.9,3.0,3.0,2.9400323260342702,39.690109028015286,1
3.0,3.1,3.1,3.041479636041913,41.156888008117676,1
3.1,3.2,3.2,3.1382572000147775,37.99571096897125,1
3.2,3.3000000000000003,3.3000000000000003,3.2398373570176773,39.558433985803276,1
3.3000000000000003,3.4,3.4,3.338321519026067,38.037392019759864,1
3.4,3.5,3.5,3.4389471739996225,38.65176497492939,1
3.5,3.6,3.6,3.5410131370299496,40.641813015099615,1
3.6,3.7,3.7,3.6384853509953246,38.207793957553804,1
3.7,3.8000000000000003,3.8000000000000003,3.738514656026382,38.258396030869335,1
3.8000000000000003,3.9,3.9,3.838895434048027,38.48613699665293,1
3.9,4.0,4.0,3.93934524001088,38.98856299929321,1
4.0,4.1,4.1,4.041155536018778,40.842662972863764,1
4.1,4.2,4.2,4.138541070045903,38.296095037367195,1
4.2,4.3,4.3,4.238034904003143,37.861000979319215,1
4.3,4.4,4.4,4.337938780023251,37.677136017009616,1
