time_s,q_ref_rad_1,q_ref_rad_2,q_ref_rad_3,q_ref_rad_4,q_ref_rad_5,q_ref_rad_6,q_rad_1,q_rad_2,q_rad_3,q_rad_4,q_rad_5,q_rad_6,dq_ref_rad_s_1,dq_ref_rad_s_2,dq_ref_rad_s_3,dq_ref_rad_s_4,dq_ref_rad_s_5,dq_ref_rad_s_6,dq_rad_s_1,dq_rad_s_2,dq_rad_s_3,dq_rad_s_4,dq_rad_s_5,dq_rad_s_6,tau_Nm_1,tau_Nm_2,tau_Nm_3,tau_Nm_4,tau_Nm_5,tau_Nm_6,solve_ms,cycle_ms,tcp_ref_m_x,tcp_ref_m_y,tcp_ref_m_z,tcp_m_x,tcp_m_y,tcp_m_z
1.100000000000000283e-02,-2.157919929999999875e-01,2.772707300000000208e-01,-1.650223371000000050e+00,-5.605873369999999634e-01,4.144895410000000169e-01,5.215410579999999463e-01,-2.157919907435285334e-01,2.772707308605505960e-01,-1.650223361777864772e+00,-5.605873768189972850e-01,4.144895366648313484e-01,5.215410963184250459e-01,-2.283399999999999856e-05,1.537000000000000065e-06,2.496600000000000118e-05,-7.742100000000000295e-05,-8.456000000000000015e-06,7.587700000000000553e-05,-2.053316270644293492e-05,1.610396174243969165e-06,2.441717491552831005e-05,-7.731910548380736749e-05,-8.437675442151913854e-06,7.575495824772000386e-05,-6.386804952359838826e-03,-2.705865451872896443e+01,1.315335662945758877e+01,2.087294005809256170e+00,7.678338924589857284e-02,4.912067788257487924e-04,6.725076300062937662e+01,6.731571799900848418e+01,6.414400052655823137e-01,-7.132849970786781508e-08,5.414399968911187688e-01,6.414400047106215697e-01,-7.149156814337253928e-08,5.414399951553381385e-01
1.200000000000000372e-02,-2.157920180000000021e-01,2.772707309999999925e-01,-1.650223344000000036e+00,-5.605874220000000019e-01,4.144895319999999939e-01,5.215411410000000414e-01,-2.157920153947310848e-01,2.772707327696150581e-01,-1.650223332682295041e+00,-5.605874687724571315e-01,4.144895266299297720e-01,5.215411864119654517e-01,-2.715599999999999885e-05,1.827999999999999905e-06,2.969199999999999964e-05,-9.207600000000000409e-05,-1.005700000000000044e-05,9.024000000000000337e-05,-2.465120254586418346e-05,1.909064435978686343e-06,2.909556969262893245e-05,-9.195345989362795958e-05,-1.003490157374944283e-05,9.009354038324099553e-05,-7.016992794164842069e-03,-2.705868026488028733e+01,1.315346356086558899e+01,2.087247979425355560e+00,7.678336099135611714e-02,4.911937170584214406e-04,6.849938999948790297e+01,6.857170199873507954e+01,6.414400050536314124e-01,-9.100240103139533771e-08,5.414399971569039405e-01,6.414400046360551055e-01,-9.128865359732397127e-08,5.414399948447534694e-01
1.300000000000000461e-02,-2.157920469999999868e-01,2.772707329999999915e-01,-1.650223312000000053e+00,-5.605875219999999493e-01,4.144895210000000274e-01,5.215412390000000453e-01,-2.157920445360100858e-01,2.772707350029608997e-01,-1.650223298502000446e+00,-5.605875766166594776e-01,4.144895148604993418e-01,5.215412920736868241e-01,-3.184900000000000627e-05,2.145000000000000215e-06,3.482400000000000404e-05,-1.079890000000000261e-04,-1.179500000000000311e-05,1.058350000000000328e-04,-2.914127898872448803e-05,2.233345864504315161e-06,3.418029470486093932e-05,-1.078442023851759800e-04,-1.176943043322633408e-05,1.056617213672610947e-04,-7.646304662591614856e-03,-2.705870565618651824e+01,1.315357010041342889e+01,2.087201970425145880e+00,7.678333113180835223e-02,4.911792903595095560e-04,6.858233799721347168e+01,6.865447100062738173e+01,6.414400050128805653e-01,-1.139510062829612898e-07,5.414399970267962381e-01,6.414400045563115604e-01,-1.146561924768724151e-07,5.414399945105033973e-01
1.400000000000000550e-02,-2.157920809999999967e-01,2.772707360000000176e-01,-1.650223274000000018e+00,-5.605876379999999992e-01,4.144895080000000065e-01,5.215413530000000408e-01,-2.157920785388979801e-01,2.772707375851878320e-01,-1.650223258832161033e+00,-5.605877016045641703e-01,4.144895012199754092e-01,5.215414145324485107e-01,-3.691299999999999708e-05,2.484999999999999925e-06,4.035999999999999983e-05,-1.251570000000000080e-04,-1.366999999999999956e-05,1.226610000000000103e-04,-3.400288789482417627e-05,2.582226928505321098e-06,3.966983938136697330e-05,-1.249879046594770649e-04,-1.364052393765544257e-05,1.224587616553372013e-04,-8.274498896962908384e-03,-2.705873252583609556e+01,1.315367673392052694e+01,2.087156097740167304e+00,7.678330837195854186e-02,4.911660294035323634e-04,6.838059499932569452e+01,6.845384600092074834e+01,6.414400052454128920e-01,-1.408760190030472405e-07,5.414399968402268115e-01,6.414400044713920446e-01,-1.418870126411730996e-07,5.414399941531712335e-01
1.500000000000000638e-02,-2.157921210000000034e-01,2.772707380000000166e-01,-1.650223231000000013e+00,-5.605877719999999842e-01,4.144894929999999866e-01,5.215414849999999714e-01,-2.157921177739236807e-01,2.772707405408824655e-01,-1.650223213268966038e+00,-5.605878449871823932e-01,4.144894855710348214e-01,5.215415550139883560e-01,-4.234599999999999741e-05,2.850999999999999893e-06,4.630000000000000055e-05,-1.435789999999999885e-04,-1.568299999999999875e-05,1.407149999999999970e-04,-3.923502569317867010e-05,2.955694636138712605e-06,4.556319489784653643e-05,-1.433826182767655364e-04,-1.564894060656441143e-05,1.404815398297123161e-04,-8.901097846721996512e-03,-2.705875912696244612e+01,1.315378295355673544e+01,2.087110263859618620e+00,7.678327436452249410e-02,4.911522901757717739e-04,6.772789299793657847e+01,6.779030799953034148e+01,6.414400050678545906e-01,-1.723448523426457299e-07,5.414399971247899623e-01,6.414400043812429342e-01,-1.732732521175645005e-07,5.414399937730601797e-01
1.600000000000000727e-02,-2.157921660000000075e-01,2.772707409999999872e-01,-1.650223181000000094e+00,-5.605879259999999586e-01,4.144894769999999951e-01,5.215416349999999479e-01,-2.157921626106233948e-01,2.772707438956408255e-01,-1.650223161408637340e+00,-5.605880080128909926e-01,4.144894677780449066e-01,5.215417147421499422e-01,-4.814800000000000048e-05,3.242000000000000046e-06,5.264399999999999944e-05,-1.632509999999999994e-04,-1.783099999999999919e-05,1.599949999999999886e-04,-4.483669971321677247e-05,3.354758362142769937e-06,5.186032869525603273e-05,-1.630257086432885996e-04,-1.779298992907634556e-05,1.597281615596313816e-04,-9.526227029808365804e-03,-2.705878416491655258e+01,1.315388877606925888e+01,2.087064492389527182e+00,7.678324940872030546e-02,4.911388986335720819e-04,6.730458099991665222e+01,6.736727400129893795e+01,6.414400051013501303e-01,-2.078764316517239875e-07,5.414399973959612700e-01,6.414400042861601037e-01,-2.091063019471761701e-07,5.414399933703156753e-01
1.700000000000000816e-02,-2.157922170000000084e-01,2.772707449999999851e-01,-1.650223124999999902e+00,-5.605880989999999509e-01,4.144894579999999773e-01,5.215418050000000250e-01,-2.157922134180209617e-01,2.772707476740470800e-01,-1.650223102848373591e+00,-5.605881919272364122e-01,4.144894477050575232e-01,5.215418949376748881e-01,-5.431799999999999731e-05,3.656999999999999884e-06,5.938999999999999889e-05,-1.841710000000000092e-04,-2.011599999999999849e-05,1.804979999999999920e-04,-5.080739756384985241e-05,3.778406273504323731e-06,5.856026384748483712e-05,-1.839143453706288799e-04,-2.007298736765197094e-05,1.801955249707866955e-04,-1.015028845850898462e-02,-2.705881093850328867e+01,1.315399492830878359e+01,2.087018874736802587e+00,7.678322709709006766e-02,4.911253230742903273e-04,6.755959599831840023e+01,6.762075499864295125e+01,6.414400052438162803e-01,-2.481550665108106458e-07,5.414399971348301532e-01,6.414400041862304835e-01,-2.496770881831866719e-07,5.414399929455960825e-01
1.800000000000000905e-02,-2.157922750000000056e-01,2.772707489999999830e-01,-1.650223062000000018e+00,-5.605882949999999587e-01,4.144894359999999889e-01,5.215419970000000349e-01,-2.157922705641494299e-01,2.772707519011712862e-01,-1.650223037186436370e+00,-5.605883979731302036e-01,4.144894252160732373e-01,5.215420968183569483e-01,-6.085500000000002637e-05,4.098000000000002099e-06,6.653800000000003277e-05,-2.063360000000000790e-04,-2.253700000000001140e-05,2.022210000000000684e-04,-5.714612848176352250e-05,4.227124220965790273e-06,6.566193719553829126e-05,-2.060458937902752679e-04,-2.248898425919460320e-05,2.018806820216350348e-04,-1.077279081217617784e-02,-2.705883651461038397e+01,1.315410040346578135e+01,2.086973269745856285e+00,7.678319297757592310e-02,4.911116713541739892e-04,6.802866599900880828e+01,6.809655600227415562e+01,6.414400052245345929e-01,-2.939143987423925435e-07,5.414399969212897457e-01,6.414400040816190529e-01,-2.952758217387441416e-07,5.414399924990925816e-01
1.900000000000000994e-02,-2.157923389999999997e-01,2.772707529999999809e-01,-1.650222992000000000e+00,-5.605885130000000105e-01,4.144894129999999732e-01,5.215422100000000061e-01,-2.157923344160343482e-01,2.772707566015841785e-01,-1.650222964021571315e+00,-5.605886273911057094e-01,4.144894001754465540e-01,5.215423216000286688e-01,-6.775799999999999738e-05,4.561999999999999690e-06,7.408699999999999726e-05,-2.297439999999999877e-04,-2.509400000000000064e-05,2.251619999999999967e-04,-6.385188492389403205e-05,4.700412878790994358e-06,7.316486513807365390e-05,-2.294179755562868921e-04,-2.504062666578752048e-05,2.247816717160189227e-04,-1.139361538157517006e-02,-2.705886315911069673e+01,1.315420611955708985e+01,2.086927819285010699e+00,7.678316989617837984e-02,4.910981647689320389e-04,6.710398500217706896e+01,6.717522699909750372e+01,6.414400050982743684e-01,-3.443839795855413283e-07,5.414399970635205284e-01,6.414400039724419411e-01,-3.461919483861430810e-07,5.414399920314197923e-01
2.000000000000001082e-02,-2.157924109999999895e-01,2.772707580000000060e-01,-1.650222913999999985e+00,-5.605887550000000497e-01,4.144893860000000152e-01,5.215424480000000473e-01,-2.157924053407010712e-01,2.772707617998553808e-01,-1.650222882954037962e+00,-5.605888814191822833e-01,4.144893724481152897e-01,5.215425704965034326e-01,-7.502800000000000062e-05,5.052000000000000081e-06,8.203499999999999638e-05,-2.543919999999999862e-04,-2.778600000000000129e-05,2.493190000000000163e-04,-7.092466671352775688e-05,5.198271220322456184e-06,8.106753343086455855e-05,-2.540280765198115929e-04,-2.772733126620025571e-05,2.488964747383676191e-04,-1.201423556027812582e-02,-2.705888914909109388e+01,1.315431123477345032e+01,2.086882321410177266e+00,7.678313530281312416e-02,4.910849254533046233e-04,6.778202100031194277e+01,6.784942400190629996e+01,6.414400051208368758e-01,-4.011332328771044339e-07,5.414399968764712634e-01,6.414400038587142472e-01,-4.027147669857650473e-07,5.414399915428610432e-01
