time_s,wall_time_s,compute_us,limited,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,pose_error1,pose_error2,pose_error3,pose_error4,pose_error5,pose_error6,tau_ff1,tau_ff2,tau_ff3,tau_ff4,tau_ff5,tau_ff6,tau_pd1,tau_pd2,tau_pd3,tau_pd4,tau_pd5,tau_pd6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,motor_tau1,motor_tau2,motor_tau3,motor_tau4,motor_tau5,motor_tau6
0.01,0.009820864,4.568,0,-0.215774770998,0.277704651356,-1.65016205597,-0.560778315365,0.414277637379,0.521148880448,0,0.012217304764,-0.000872664625997,-0.0146607657168,-0.00314159265359,-0.0146607657168,-8.95615354625e-05,2.67689979752e-05,0.000286790186301,0.000487222121244,-0.000586010987956,2.15264561156e-05,-0.00636924894992,-0.00026547392779,0.00107859410776,-0.00046597730147,-1.83036108659e-07,-1.37779363644e-07,0.0202689017386,-0.258699918453,0.173848578736,0.0750800608328,0.0514198441501,0.0277151033307,0.0138996527887,-0.258965392381,0.174927172844,0.0746140835314,0.051419661114,0.0277149655514,0.04599,0.17892,-0.1177,0.0138,-0.0044,-0.015
0.011,0.010819482,5.518,1,-0.21577537021,0.277716835318,-1.65016285492,-0.560791737697,0.414274042111,0.521134020009,-0.000872664625997,0.010471975512,-0,-0.0115191730632,-0.00314159265359,-0.0146607657168,-9.123663954e-05,2.8198588796e-05,0.000296848611402,0.00051158831526,-0.00060450126379,1.92191942507e-05,-0.00699886559757,-0.000291167540556,0.00118527544254,-0.000512036891818,-2.01595696581e-07,-1.51337394295e-07,0.030604297272,-0.221893369737,0.145218847525,0.0650764879527,0.0454337152518,0.0255210244084,0.0236054316745,-0.228965392381,0.146404122968,0.0645644510609,0.0454335136561,0.025520873071,0.00252,0.16128,-0.11935,0.0218,-0.0084,-0.0026
0.012,0.011693435,6.125,0,-0.215775170473,0.277727820858,-1.6501638536,-0.560802763184,0.414270926213,0.521118440517,0.000872664625997,0.00959931088597,-0.000872664625997,-0.00837758040957,-0.00209439510239,-0.0157079632679,-9.27625116469e-05,2.89641499531e-05,0.000305898726055,0.000534693810611,-0.00062112071706,1.67115796891e-05,-0.00762760803943,-0.000316508376986,0.00129156220817,-0.000558067002652,-2.27149153792e-07,-1.65086642805e-07,0.00395384322398,-0.207341996133,0.138080859795,0.060601134949,0.0399838924012,0.0238089639288,-0.00367376481544,-0.20765850451,0.139372422003,0.0600430679464,0.0399836652521,0.0238087988421,0.01512,0.18207,-0.12595,0.021,-0.0034,-0.0082
0.013,0.012779147,5.288,0,-0.215775170473,0.277737607975,-1.65016485229,-0.560810912457,0.414268049999,0.521102861025,0,0.00872664625997,-0.000872664625997,-0.00628318530718,-0.00209439510239,-0.0146607657168,-9.41962905252e-05,2.97129750898e-05,0.000313805870221,0.000555423594375,-0.000635784194025,1.52893526645e-05,-0.00825523497149,-0.000343304702437,0.00139794249279,-0.000603942564532,-2.42518857857e-07,-1.78653025434e-07,0.0145402030538,-0.192667685263,0.126546397177,0.0548648585917,0.0384066741065,0.0211344626599,0.00628496808226,-0.193010989965,0.12794433967,0.0542609160272,0.0384064315877,0.0211342840068,0.04536,0.16632,-0.1221,0.0146,0,-0.0004
0.014,0.013836552,6.522,0,-0.215774571261,0.277745996932,-1.65016605071,-0.560817383939,0.414265653154,0.521086322794,0,0.00785398163397,-0.000872664625997,-0.00523598775598,-0.0010471975512,-0.0178023583703,-9.53992904335e-05,2.99345145404e-05,0.000320671389428,0.000575833415755,-0.000648524717891,1.36146657024e-05,-0.00888126889955,-0.000369806367164,0.00150390488436,-0.000649759459717,-2.66041570607e-07,-1.9217389727e-07,0.0119970282328,-0.175660736357,0.114581729848,0.0540806028453,0.0345159493288,0.0236063116049,0.0031157593333,-0.176030542724,0.116085634732,0.0534308433856,0.0345156832872,0.0236061194311,-0.00189,0.13293,-0.12705,0.0106,-0.001,-0.0142
0.015,0.014834315,5.917,0,-0.215773572576,0.277754186153,-1.65016784834,-0.560822896682,0.414263735678,0.52106906551,0.000872664625997,0.00785398163397,-0.000872664625997,-0.00523598775598,-0.0010471975512,-0.0167551608191,-9.6519518335e-05,2.98159025811e-05,0.000327526309865,0.000595999533414,-0.00066104792223,1.16353181108e-05,-0.00950583519373,-0.000394746649743,0.00160946454176,-0.000695497502315,-2.85753661233e-07,-2.05677138213e-07,0.00024214154528,-0.176056707596,0.116035019089,0.0532600015279,0.0333792718012,0.022660515766,-0.00926369364845,-0.176451454246,0.117644483631,0.0525645040256,0.0333789860475,0.0226603100888,-0.01008,0.16002,-0.12265,0.0112,-0.0084,-0.0078
0.016,0.015828715,4.492,0,-0.215773372839,0.277762175636,-1.65016964598,-0.56082864911,0.41426277694,0.521051328858,0,0.00785398163397,-0.00174532925199,-0.00418879020479,-0.0010471975512,-0.0188495559215,-9.75847761927e-05,3.01534216091e-05,0.000334200857416,0.0006169051564,-0.000672593895679,9.89481376575e-06,-0.0101293366328,-0.000421394823956,0.00171534879853,-0.000741057210349,-2.94717707461e-07,-2.19022230875e-07,0.0110997399229,-0.182728449991,0.12078648706,0.0556718559296,0.0362297003938,0.0237134001857,0.000970403290129,-0.183149844815,0.122501835859,0.0549307987192,0.0362294056761,0.0237131811635,0.01827,0.17325,-0.1199,0.0188,0.0038,-0.0158
0.017,0.016826107,4.693,0,-0.215773572576,0.277769765645,-1.65017144361,-0.560834641222,0.414262297571,0.521032154098,0,0.00698131700798,-0.00174532925199,-0.00628318530718,-0,-0.0188495559215,-9.85535768505e-05,3.07057237174e-05,0.000340612358779,0.000639555106278,-0.000683380593404,8.22984410301e-06,-0.010751280775,-0.000446821490797,0.00182055438497,-0.000786584336526,-3.1829317082e-07,-2.3252652844e-07,0.0090534047859,-0.172952162648,0.11584929984,0.057060332969,0.033538909247,0.0259307027922,-0.00169787598911,-0.173398984139,0.117669854225,0.0562737486324,0.0335385909538,0.0259304702657,0.00189,0.17262,-0.11495,0.0122,-0.0026,-0.0068
0.018,0.017829206,4.86,0,-0.215773772313,0.277776157232,-1.65017384046,-0.560840153966,0.414262057886,0.521011541231,0,0.00523598775598,-0.00174532925199,-0.00418879020479,-0,-0.0198967534727,-9.92051753317e-05,3.11524366381e-05,0.000346470170726,0.00066333208152,-0.000693277621579,6.61199014122e-06,-0.0113715492575,-0.00047330252465,0.00192599416549,-0.000831930550998,-3.2870315822e-07,-2.4607532288e-07,0.00715728598699,-0.14440012475,0.0966003457065,0.0512307523663,0.0283250236699,0.0255532005154,-0.00421426327049,-0.144873427275,0.098526339872,0.0503988218153,0.0283246949667,0.0255529544401,0.03906,0.15876,-0.1265,0.0126,-0.0028,-0.0084
0.019,0.018832487,4.974,0,-0.21577397205,0.277781350396,-1.6501762373,-0.560845666709,0.414261818202,0.520990928364,0,0.00349065850399,-0.00261799387799,-0.00314159265359,-0,-0.0198967534727,-9.96073781808e-05,3.1539756562e-05,0.000351577320222,0.000687364987713,-0.000702005536362,4.99556430012e-06,-0.0119916156545,-0.000499113931294,0.0020308262588,-0.000877299732359,-3.50268965804e-07,-2.59355109644e-07,0.00482693920637,-0.125826889597,0.0869276266842,0.0478869477462,0.0252886648873,0.0249015683163,-0.00716467644816,-0.126326003528,0.088958452943,0.0470096480139,0.0252883146184,0.0249013089612,-0.00063,0.17514,-0.11385,0.0218,0.004,-0.0046
0.02,0.019696057,4.749,0,-0.215772773628,0.277785944349,-1.65017903362,-0.560850939768,0.414260859464,0.520969596444,0.000872664625997,0.00349065850399,-0.00261799387799,-0.00523598775598,-0,-0.0209439510239,-9.98350440051e-05,3.10135966817e-05,0.000356529285762,0.000711942472237,-0.000711111853465,2.42082478163e-06,-0.0126101213019,-0.00052371038818,0.00213498504566,-0.000922636335696,-3.81706111385e-07,-2.72794604552e-07,-0.00669971249331,-0.129894976893,0.0920343475566,0.0523245564327,0.0249047227367,0.0279895049697,-0.0193098337952,-0.130418687282,0.0941693326023,0.051401920097,0.0249043410306,0.0279892321751,-0.03024,0.1638,-0.12705,0.006,-0.0044,-0.005
0.021,0.020821091,4.568,0,-0.215771774942,0.277790538302,-1.65018182994,-0.560856212827,0.414259181672,0.520948983577,0.000872664625997,0.00436332312999,-0.00261799387799,-0.00418879020479,-0.0010471975512,-0.0188495559215,-0.000100062731521,3.06477853736e-05,0.000361546115904,0.000735800367915,-0.000720842781968,4.05691682759e-07,-0.0132269693696,-0.000549670148306,0.00223966245593,-0.000967743831365,-3.94648019097e-07,-2.86094663828e-07,-0.00470037857706,-0.143849596484,0.100646124317,0.0512146315924,0.0282701125152,0.0248689449552,-0.0179273479466,-0.144399266632,0.102885786773,0.050246887761,0.0282697178672,0.0248686588605,0,0.1323,-0.13475,0.0172,-0.0072,-0.0044
0.022,0.021830255,4.894,0,-0.215771175731,0.277795531729,-1.65018402705,-0.560861006517,0.414258462619,0.520929808817,0,0.00436332312999,-0.00174532925199,-0.00418879020479,-0,-0.0188495559215,-0.000100493871608,3.05082505354e-05,0.000366384960614,0.000757822418195,-0.000729451024117,-1.52063615484e-06,-0.0138428820402,-0.000575383959692,0.00234404678138,-0.00101277332826,-4.09806134388e-07,-2.993923058e-07,0.00581489467219,-0.134867259686,0.0910969733747,0.0493882974281,0.0265034187065,0.0251652568187,-0.00802798736802,-0.135442643646,0.0934410201561,0.0483755240999,0.0265030089004,0.0251649574264,0.03843,0.15246,-0.11605,0.0114,-0.0058,-0.0082
0.023,0.022694368,4.965,0,-0.215770776257,0.277801324104,-1.65018542521,-0.560865560523,0.41425798325,0.520911113426,0,0.00610865238198,-0,-0.00418879020479,-0,-0.0167551608191,-0.000101230177241,3.05359771465e-05,0.000371298195613,0.000779148171922,-0.00073780320567,-3.28293643933e-06,-0.0144571339114,-0.000601786866799,0.0024483275666,-0.00105769437867,-4.21905097303e-07,-3.12903194835e-07,0.00837261742435,-0.145347806446,0.0927443728589,0.0478218859991,0.0275737191237,0.0231774809364,-0.00608451648701,-0.145949593313,0.0951927004255,0.0467641916205,0.0275732972186,0.0231771680332,0,0.16758,-0.12045,0.0058,-0.0022,-0.0028
0.024,0.02371405,3.896,0,-0.215770376783,0.277807515954,-1.65018642389,-0.560870114528,0.414257024512,0.520892178351,0,0.00610865238198,-0,-0.00314159265359,-0,-0.0178023583703,-0.000102112191676,3.06139012599e-05,0.000376317649867,0.000800711308301,-0.000746570350592,-4.80630235444e-06,-0.0150705366108,-0.00062726921864,0.00255228542742,-0.00110253908356,-4.42112931848e-07,-3.25969115187e-07,0.00808505133613,-0.14358872085,0.0908539243966,0.0473222812295,0.0272833339194,0.0233738662164,-0.00698548527472,-0.144215990068,0.0934062098241,0.0462197421459,0.0272828918064,0.0233735402473,0.02394,0.16632,-0.12155,0.0144,-0.006,-0.011
0.025,0.024719312,3.355,0,-0.215770376783,0.277813308329,-1.6501870231,-0.56087394948,0.414256545143,0.520874202013,0,0.00523598775598,-0.000872664625997,-0.00314159265359,-0.0010471975512,-0.0167551608191,-0.000103013065793,3.08932527966e-05,0.000380764414861,0.000820829908996,-0.000753998616111,-5.91700251923e-06,-0.0156822926751,-0.000652211376522,0.00265559982211,-0.0011473492074,-4.66310530939e-07,-3.39189474214e-07,0.00819499636345,-0.142453583739,0.0932678164373,0.0469059925815,0.028287954354,0.0224272541526,-0.00748729631165,-0.143105795115,0.0959234162594,0.0457586433741,0.0282874880435,0.0224269149632,0.02772,0.14301,-0.1111,0.011,-0.0028,-0.0076
0.026,0.025817764,3.363,0,-0.215770376783,0.277819500178,-1.65018742258,-0.560877544748,0.414256305458,0.520856225676,0,0.00523598775598,-0,-0.00314159265359,-0,-0.0167551608191,-0.000104041832394,3.11713062939e-05,0.00038531576997,0.000840684966612,-0.00076136575024,-7.06404078408e-06,-0.0162924344878,-0.000677237607345,0.00275884494563,-0.00119202851363,-4.7908898565e-07,-3.52420764024e-07,0.0070981567533,-0.132692852231,0.0842459249377,0.0449241580419,0.0252140694016,0.0227133642012,-0.00919427773453,-0.133370089838,0.0870047698834,0.0437321295282,0.0252135903127,0.0227130117804,0.01953,0.14553,-0.1254,0.0102,-0.0064,0.001
0.027,0.026658122,3.395,0,-0.21577057652,0.277826091502,-1.65018802179,-0.560880420962,0.414255826089,0.520838968392,0,0.00610865238198,-0,-0.00209439510239,-0,-0.0167551608191,-0.000105161486694,3.15753521483e-05,0.000390140126829,0.000859035986771,-0.000769382072372,-7.64109185844e-06,-0.0169016953153,-0.000702263916509,0.00286202276677,-0.00123660608692,-4.98267840099e-07,-3.65673969561e-07,0.0076074443871,-0.143487545208,0.0902065177189,0.0452851614743,0.027193698403,0.0216596488134,-0.0092942509282,-0.144189809125,0.0930685404857,0.0440485553873,0.0271932001351,0.0216592831394,0.0063,0.18018,-0.1254,0.0114,0.0006,-0.0144
0.028,0.027633592,3.399,0,-0.21577057652,0.277832283352,-1.65018822153,-0.560883057491,0.414255826089,0.520822669846,0,0.00610865238198,-0,-0.00209439510239,-0,-0.0157079632679,-0.000106274074504,3.18079857886e-05,0.000394452610046,0.000876378962073,-0.000776153299207,-8.57149518e-06,-0.0175099890796,-0.000727964947469,0.00296516309173,-0.00128107989306,-5.17960649205e-07,-3.78943741898e-07,0.00747881012382,-0.144304155133,0.0908204220285,0.0445079704417,0.0272881106445,0.0206991582058,-0.0100311789558,-0.14503212008,0.0937855851203,0.0432268905486,0.0272875926839,0.0206987792621,-0.00126,0.16632,-0.12375,0.0114,-0.0014,-0.0018
0.029,0.028826513,3.366,0,-0.215770177046,0.277838075727,-1.65018802179,-0.56088569402,0.414255586405,0.520807569723,0,0.00523598775598,-0,-0.00209439510239,-0,-0.0146607657168,-0.00010736631299,3.17836540474e-05,0.00039835005124,0.000892695165652,-0.000782353000333,-9.78203044217e-06,-0.0181173478343,-0.000753420239107,0.00306801038188,-0.00132547556851,-5.39881596207e-07,-3.91987279654e-07,0.0065444856662,-0.132721113447,0.0837424355871,0.0418710799817,0.025096467074,0.0199203799338,-0.0115728621681,-0.133474533686,0.0868104459689,0.0405456044132,0.0250959271924,0.0199199879465,0.01449,0.1764,-0.1232,0.0068,-0.0052,-0.0118
0.03,0.029839832,3.367,0,-0.215770177046,0.277843468628,-1.65018762231,-0.560888570234,0.414255107036,0.520793428338,0,0.00523598775598,-0,-0.00209439510239,-0,-0.0136135681656,-0.000108393651562,3.20148597673e-05,0.000401955546667,0.000908400100028,-0.00078822252241,-1.05563228295e-05,-0.0187223632212,-0.00077835648786,0.00317015356021,-0.00136983166163,-5.57493749109e-07,-4.04934654639e-07,0.00640562295842,-0.13344218979,0.084290839151,0.0410675272039,0.0251737783162,0.0189517013496,-0.0123167402628,-0.134220546278,0.0874609927112,0.0396976955423,0.0251732208225,0.0189512964149,0.02457,0.16128,-0.1254,0.0148,-0.0016,-0.0106
0.031,0.030835117,3.401,0,-0.215770177046,0.277848262318,-1.65018742258,-0.560891206764,0.414255107036,0.520780006006,0,0.00349065850399,-0,-0.00209439510239,-0,-0.0136135681656,-0.000109278264498,3.21722534327e-05,0.000405205534248,0.000923251680376,-0.000793238705702,-1.14848901676e-05,-0.0193257608124,-0.000803723009028,0.00327254936235,-0.00141398484928,-5.67826908576e-07,-4.17947055721e-07,0.00471854942068,-0.109199418961,0.0692756044016,0.0375240887351,0.0206947587005,0.0193996461206,-0.0146072113918,-0.11000314197,0.072548153764,0.0361101038858,0.0206941908735,0.0193992281735,0.02961,0.15309,-0.10835,0.0112,0.0026,-0.0178
0.032,0.031817503,3.345,0,-0.215770376783,0.277852656534,-1.65018762231,-0.560893603609,0.414254387982,0.520766343989,0,0.00349065850399,-0,-0.0010471975512,-0,-0.0115191730632,-0.000110029663823,3.24472025445e-05,0.00040842532832,0.000938124491823,-0.000798829281491,-1.17733129771e-05,-0.0199290002099,-0.000829025221069,0.00337489590338,-0.00145806538095,-5.88156910453e-07,-4.30993817949e-07,0.00442137159144,-0.107872529936,0.0678862253443,0.0340670820486,0.0203599346998,0.016420989777,-0.0155076286184,-0.108701555157,0.0712611212477,0.0326090166677,0.0203593465429,0.0164205587832,-0.03402,0.16758,-0.12045,0.0128,-0.0076,0
