time_s,q_ref_rad_1,q_ref_rad_2,q_ref_rad_3,q_ref_rad_4,q_ref_rad_5,q_ref_rad_6,q_rad_1,q_rad_2,q_rad_3,q_rad_4,q_rad_5,q_rad_6,dq_ref_rad_s_1,dq_ref_rad_s_2,dq_ref_rad_s_3,dq_ref_rad_s_4,dq_ref_rad_s_5,dq_ref_rad_s_6,dq_rad_s_1,dq_rad_s_2,dq_rad_s_3,dq_rad_s_4,dq_rad_s_5,dq_rad_s_6,tau_Nm_1,tau_Nm_2,tau_Nm_3,tau_Nm_4,tau_Nm_5,tau_Nm_6,solve_ms,cycle_ms,tcp_ref_m_x,tcp_ref_m_y,tcp_ref_m_z,tcp_m_x,tcp_m_y,tcp_m_z
5.500000000000004191e-02,-2.158021609999999924e-01,2.772714159999999928e-01,-1.650212250999999908e+00,-5.606218240000000463e-01,4.144857739999999735e-01,5.215748590000000018e-01,-2.158020842068305023e-01,2.772714495983855110e-01,-1.650212005053356634e+00,-5.606226732298787985e-01,4.144856838068511351e-01,5.215756965827681446e-01,-5.539619999999999657e-04,3.732099999999999724e-05,6.057470000000000129e-04,-1.878476000000000017e-03,-2.051830000000000038e-04,1.841027000000000071e-03,-5.413934420243968334e-04,3.771411485341840704e-05,6.021209832056791328e-04,-1.869479330819569501e-03,-2.040357023655035200e-04,1.832439663641375303e-03,-3.176430064194842029e-02,-2.705973973936119847e+01,1.315767025951804392e+01,2.085416443080263527e+00,7.678100003520553496e-02,4.906590232407818638e-04,1.045898189986473881e+02,1.046946550013672095e+02,6.414400035977970704e-01,-8.094036129114163110e-06,5.414399961650002702e-01,6.414400026685616041e-01,-8.081403253993576507e-06,5.414399728595292727e-01
6.000000000000004635e-02,-2.158051840000000110e-01,2.772716190000000247e-01,-1.650208944000000066e+00,-5.606320799999999771e-01,4.144846540000000079e-01,5.215849099999999572e-01,-2.158050980513516459e-01,2.772716590167392248e-01,-1.650208657516419208e+00,-5.606330655700765275e-01,4.144845493571481243e-01,5.215858829492852067e-01,-6.569720000000000247e-04,4.426799999999999697e-05,7.184049999999999768e-04,-2.227854000000000032e-03,-2.433459999999999974e-04,2.183445000000000004e-03,-6.436983850701654807e-04,4.466245519525757247e-05,7.143766134724052188e-04,-2.217527088496053320e-03,-2.420256071133048477e-04,2.173571408303205058e-03,-3.464274429560590396e-02,-2.705986710752144120e+01,1.315816080237751606e+01,2.085197215285099936e+00,7.678042055429123991e-02,4.905969673149765354e-04,1.158142159983981401e+02,1.159096810006303713e+02,6.414400028862043968e-01,-1.047933260209021841e-05,5.414399966351387539e-01,6.414400021865033219e-01,-1.046679012901939661e-05,5.414399694414739894e-01
6.500000000000004385e-02,-2.158087439999999968e-01,2.772718599999999811e-01,-1.650205050999999923e+00,-5.606441530000000339e-01,4.144833350000000083e-01,5.215967419999999466e-01,-2.158086486722582409e-01,2.772719048634102457e-01,-1.650204721273275998e+00,-5.606452832093745675e-01,4.144832156305456872e-01,5.215978583460344487e-01,-7.683429999999999991e-04,5.178199999999999990e-05,8.402149999999999506e-04,-2.605622000000000146e-03,-2.846109999999999894e-04,2.553689999999999953e-03,-7.544227597994786856e-04,5.217284200015772890e-05,8.357651405131250391e-04,-2.593880872554786901e-03,-2.831067261022951888e-04,2.542447878829240046e-03,-3.748910306261947489e-02,-2.705999291111413640e+01,1.315864620306988897e+01,2.084978360664664798e+00,7.677975490964983329e-02,4.905355424348468822e-04,1.061836799999582581e+02,1.062974630003736820e+02,6.414400024832147551e-01,-1.328828611792778890e-05,5.414399959203354262e-01,6.414400016554381301e-01,-1.327594174966900690e-05,5.414399659973108125e-01
7.000000000000004829e-02,-2.158128810000000120e-01,2.772721389999999730e-01,-1.650200525999999890e+00,-5.606581849999999756e-01,4.144818020000000103e-01,5.216104950000000073e-01,-2.158127778555974374e-01,2.772721899418420510e-01,-1.650200150955720702e+00,-5.606594667515572006e-01,4.144816672672561042e-01,5.216117605962509174e-01,-8.879779999999999878e-04,5.985899999999999728e-05,9.710740000000000474e-04,-3.011465000000000062e-03,-3.289429999999999980e-04,2.951453000000000149e-03,-8.734630321308380248e-04,6.024300164795793288e-05,9.661870386274549376e-04,-2.998228184103811974e-03,-3.272455510752132280e-04,2.938765359413355715e-03,-4.030120377072325677e-02,-2.706011795774040962e+01,1.315912690253183115e+01,2.084759924811799614e+00,7.677901334296209634e-02,4.904750687217384600e-04,9.544658699815045111e+01,9.568756199951167218e+01,6.414400018221974031e-01,-1.655259668617710503e-05,5.414399959354396774e-01,6.414400010705936239e-01,-1.654179278715396512e-05,5.414399625370354130e-01
7.500000000000005274e-02,-2.158176370000000066e-01,2.772724590000000267e-01,-1.650195325000000102e+00,-5.606743159999999504e-01,4.144800399999999940e-01,5.216263049999999568e-01,-2.158175268928045065e-01,2.772725170220438073e-01,-1.650194901708708972e+00,-5.606757552585471815e-01,4.144798890738473074e-01,5.216277260122188508e-01,-1.015782000000000013e-03,6.849199999999999408e-05,1.110880999999999978e-03,-3.445067999999999915e-03,-3.763090000000000185e-04,3.376427999999999895e-03,-1.000723352092781600e-03,6.886330547843167501e-05,1.105537612292261133e-03,-3.430263437792888982e-03,-3.744089814215245714e-04,3.362222712036812538e-03,-4.308113705162941454e-02,-2.706024427155725931e+01,1.315960321983149228e+01,2.084541653127993222e+00,7.677818549967112272e-02,4.904151368028654900e-04,9.164076199886039831e+01,9.175757599950884469e+01,6.414400007566791739e-01,-2.030526684930952842e-05,5.414399960373358356e-01,6.414400004230658148e-01,-2.029689608779845932e-05,5.414399590653230510e-01
8.000000000000005718e-02,-2.158230519999999875e-01,2.772728250000000005e-01,-1.650189402000000083e+00,-5.606926829999999695e-01,4.144780339999999952e-01,5.216443060000000020e-01,-2.158229365810335476e-01,2.772728888483198539e-01,-1.650188929184390529e+00,-5.606942862513067949e-01,4.144778660268236270e-01,5.216458894020100656e-01,-1.151656999999999941e-03,7.767699999999999507e-05,1.259534000000000088e-03,-3.906119999999999905e-03,-4.266739999999999877e-04,3.828310000000000133e-03,-1.136102857217975368e-03,7.803160465164606606e-05,1.253717600948704540e-03,-3.889676739238321496e-03,-4.245624512654609444e-04,3.812519326169602069e-03,-4.582765196434356730e-02,-2.706036994611318036e+01,1.316007497531924564e+01,2.084323455779367507e+00,7.677726711899439394e-02,4.903561873220811922e-04,9.084640700166346505e+01,9.098839199941721745e+01,6.414400000339246510e-01,-2.457810232173808550e-05,5.414399956528147539e-01,6.414399997021535960e-01,-2.457342372779883365e-05,5.414399555797693164e-01
8.500000000000006162e-02,-2.158291669999999884e-01,2.772732370000000057e-01,-1.650182714999999911e+00,-5.607134230000000441e-01,4.144757680000000222e-01,5.216646320000000170e-01,-2.158290472139335614e-01,2.772733081387480647e-01,-1.650182189547918288e+00,-5.607151957160727562e-01,4.144755832697091247e-01,5.216663840737681967e-01,-1.295506999999999995e-03,8.740800000000000067e-05,1.416930999999999963e-03,-4.394308999999999889e-03,-4.800049999999999825e-04,4.306794000000000074e-03,-1.279500952093496312e-03,8.774059002551402571e-05,1.410622185227469261e-03,-4.376163145291128709e-03,-4.776733438621909105e-04,4.289355667571160581e-03,-4.854073093875835992e-02,-2.706049632519153647e+01,1.316054215244489711e+01,2.084105134545362503e+00,7.677624914527803046e-02,4.902979128790197708e-04,9.824168100021779537e+01,9.833990699917194434e+01,6.414399987298673445e-01,-2.940323975083858332e-05,5.414399953799924337e-01,6.414399988938275232e-01,-2.940316165290469830e-05,5.414399520675249322e-01
9.000000000000006606e-02,-2.158360209999999890e-01,2.772736989999999846e-01,-1.650175219000000082e+00,-5.607366689999999654e-01,4.144732289999999986e-01,5.216874160000000149e-01,-2.158358985900507843e-01,2.772737775903229007e-01,-1.650174639465995741e+00,-5.607386181114403234e-01,4.144730261094617951e-01,5.216893418424279893e-01,-1.447235999999999965e-03,9.768200000000000429e-05,1.582971000000000074e-03,-4.909323999999999633e-03,-5.362680000000000094e-04,4.811577000000000041e-03,-1.430819664114532956e-03,9.798810682809918010e-05,1.576154068874980121e-03,-4.889416772771125463e-03,-5.337089382788744434e-04,4.792433723939447041e-03,-5.122132715349878018e-02,-2.706062239943366166e+01,1.316100508234686828e+01,2.083886567486450847e+00,7.677512431287392136e-02,4.902404581791827134e-04,9.183454700178117491e+01,9.192866500234231353e+01,6.414399974424377371e-01,-3.481156508620897522e-05,5.414399954999769005e-01,6.414399979830325282e-01,-3.481751655565619555e-05,5.414399485062937334e-01
9.500000000000007050e-02,-2.158436529999999964e-01,2.772742140000000188e-01,-1.650166872000000007e+00,-5.607625560000000231e-01,4.144704009999999883e-01,5.217127870000000112e-01,-2.158435300108647592e-01,2.772742998889169974e-01,-1.650166236114131380e+00,-5.607646863602293585e-01,4.144701800147134740e-01,5.217148930439129417e-01,-1.606746000000000042e-03,1.084939999999999950e-04,1.757553000000000023e-03,-5.450858000000000265e-03,-5.954299999999999827e-04,5.342359999999999991e-03,-1.589958617443713385e-03,1.087718848072147661e-04,1.750208522061295728e-03,-5.429129654360398752e-03,-5.926371700055980572e-04,5.321459201281791319e-03,-5.386868634314229132e-02,-2.706074752106902181e+01,1.316146302907749188e+01,2.083667521941687362e+00,7.677387292595874713e-02,4.901844522948170047e-04,8.749261499906424433e+01,8.759488199939369224e+01,6.414399959791714512e-01,-4.083402694444147885e-05,5.414399949904108444e-01,6.414399969548839620e-01,-4.084751521365077864e-05,5.414399448556830308e-01
1.000000000000000749e-01,-2.158521019999999901e-01,2.772747839999999964e-01,-1.650157630999999903e+00,-5.607912130000000106e-01,4.144672710000000260e-01,5.217408730000000494e-01,-2.158519802793174847e-01,2.772748776930474279e-01,-1.650156937174145133e+00,-5.607935318064731778e-01,4.144670306220206157e-01,5.217431665365279692e-01,-1.773938999999999985e-03,1.198390000000000024e-04,1.940576000000000063e-03,-6.018601000000000159e-03,-6.574569999999999633e-04,5.898841000000000154e-03,-1.756818548182372593e-03,1.200843192887380651e-04,1.932686602132078872e-03,-5.994980875903841225e-03,-6.544234535041876591e-04,5.876135791416474234e-03,-5.648290027525501578e-02,-2.706087484970106871e+01,1.316191764572102230e+01,2.083448189649982574e+00,7.677251814497115801e-02,4.901306182406478832e-04,8.906186699823592789e+01,8.918287099731969647e+01,6.414399944225566141e-01,-4.750125802578162004e-05,5.414399949660708700e-01,6.414399957938384800e-01,-4.752380198397492206e-05,5.414399410747403607e-01
